,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,layer
2,5,0.00865482192832776,0.0,0.0,0.09967177072165952,probeD,767871931,7.1752951861943695,4.9035141174080845,1.6355904481517827,3.00747437458594,0.99,0.0244287296271059,0.129311439378513,3,2,RS,L56
3,6,0.020781638040465733,0.01865067633411548,0.027880214556694538,0.030825046762323872,probeD,767871931,6.025869898838048,5.592118626853545,4.726856395158652,5.13385549346512,0.99,0.0827504503733213,0.124540640719998,4,5,RS,L56
4,7,0.0,0.0,0.0,0.1478287701035585,probeD,767871931,9.157818910708135,5.3727401990656105,2.741658488714426,5.35410364192695,0.99,0.0486863317371112,0.0973951420694942,1,2,RS,L56
5,26,0.0,0.005740795437384904,0.0,0.03217553851685471,probeD,767871931,3.694133859500768,4.5663213487710745,1.9504416094210009,2.89251853110175,0.99,0.0283082476640648,0.117246576701149,3,4,RS,L56
6,29,0.0,0.0,0.01749418479077889,0.04873153530099805,probeD,767871931,1.4297347239186948,3.5283363802559418,3.410206084396467,3.01079621594757,0.99,0.0071275983228705,0.15399907926236,5,2,RS,L56
7,30,0.010495392397538472,0.0,0.0,0.01679998752435412,probeD,767871931,7.886247611888879,6.72151127361365,5.5753189401373895,4.93192780342196,0.99,0.0276950430518182,0.119436323772994,3,3,RS,L56
8,34,0.0,0.0,0.0,0.06983635055576616,probeD,767871931,10.048858404585175,6.473694901482836,3.945861956166176,3.35304653805461,0.99,0.084780750359408,0.39598794793109,4,1,RS,L56
9,35,0.0,0.0,0.0,0.012345623090812153,probeD,767871931,7.438378903191457,6.095876498070283,3.5982989859339223,5.96129597808862,0.99,0.0331283680723122,0.146513228885584,2,2,FS,L56
10,36,0.006362584130462201,0.006570871512490539,0.0,0.11991965570440269,probeD,767871931,6.548905383820352,2.494413975218363,1.9095518482172065,4.86438369573554,0.99,0.0894238614218442,0.0797248074991807,3,4,RS,L56
11,50,0.0,0.0,0.0,0.0,probeD,767871931,9.979955526324032,9.717651838309974,5.297268563951587,4.3387274657229,0.99,0.0020226839205435,0.0020042614859642,3,2,RS,L56
12,52,0.0,0.0,0.0,0.007668017691463658,probeD,767871931,2.447618152776473,1.4767418240910015,1.5170101406607785,2.46450430474906,0.99,0.00899126820687006,0.0931775356659552,4,2,RS,L56
13,53,0.0,0.0,0.0,0.0249158825779926,probeD,767871931,7.317798866234458,4.107251675807435,3.281403336604514,2.45061296814589,0.99,0.000545745756336308,0.0188473772374812,3,6,RS,L56
14,54,0.008264815596664343,0.01099178254090285,0.0,0.0,probeD,767871931,13.315481223965675,12.185659150924234,16.86498200850507,12.7890892422647,0.99,0.00376964231397512,0.00853496238706231,3,2,FS,L56
