unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
54.0,0.0,0.23758473316298848,[0.08173333],['FS'],0.09686633789962484,['L56'],[0.81081736],0.0,[6.36580068],0.018600795000683325,[90.],[2.],0.16666666666666666,[100.],[3],[2],[0.52755591],[1.07739571e-14],767871931.0,0.041962869516346514,[12.78908924],[0.23350084],6,behavior,1
56.0,0.016884860547126724,0.032641703091971785,[nan],['RS'],0.10915750776744855,['L56'],[0.23518448],0.0,[2.28379935],0.07462064995834494,[135.],[2.],0.16666666666666666,[300.],[1],[1],[-0.22943723],[0.15439111],767871931.0,0.014923434890153863,[1.40242103],[0.64556114],2,unexplained,0
57.0,0.0,0.23969544944348256,[0.03467059],['FS'],0.16569182267231644,['L56'],[0.42675876],0.3333333333333333,[0.86560052],0.08167799331826578,[45.],[2.],0.16666666666666666,[400.],[3],[2],[0.56616133],[4.20516192e-22],767871931.0,0.09249469684388775,[25.06440035],[0.28844221],6,behavior,1
60.0,0.0,0.11249797147391276,[0.20580784],['RS'],0.19341181125789153,['L56'],[0.47019281],0.3333333333333333,[0.58238172],0.0,[0.],[2.],0.16666666666666666,[1100.],[3],[3],[0.27023148],[1.94040021e-09],767871931.0,0.26009683947978923,[6.86091102],[0.59061977],1,multi-source1,2
62.0,0.0,0.07220988419150857,[0.74061176],['RS'],0.14545235798042108,['L56'],[0.14067968],0.0,[0.63864917],0.014739465335143564,[0.],[2.],0.16666666666666666,[1100.],[4],[3],[0.41176471],[4.70745551e-06],767871931.0,0.18908615967846734,[5.30165881],[0.56314908],5,stimulus1,1
66.0,0.0,0.13998749835607455,[0.39405882],['RS'],0.0,['L56'],[0.1617465],0.3333333333333333,[0.17427389],0.0,[45.],[2.],0.16666666666666666,[600.],[3],[2],[0.45430172],[4.57896132e-09],767871931.0,0.1831767020698495,[8.41009703],[0.60435511],1,multi-source1,2
73.0,0.0,0.21104405308458266,[nan],['RS'],0.10587487694318773,['L56'],[0.18100486],0.3333333333333333,[2.42169408],0.09530011314693956,[135.],[2.],0.16666666666666666,[300.],[3],[2],[0.76444043],[1.09297694e-12],767871931.0,0.04008067151573669,[4.38020015],[0.52194305],6,behavior,1
74.0,0.0,0.020538934806180142,[0.15018824],['RS'],0.049745293086415086,['L56'],[0.0967833],0.0,[0.36250444],0.00857399958945384,[0.],[2.],0.16666666666666666,[400.],[1],[3],[0.70271501],[1.24018849e-11],767871931.0,0.08485953721318484,[3.37015905],[0.64556114],4,unexplained,0
75.0,0.0,0.09340478380083725,[0.08173333],['RS'],0.10991466199899609,['L56'],[0.37861655],0.0,[0.79176848],0.061790664785533946,[90.],[2.],0.16666666666666666,[600.],[1],[3],[0.20729622],[6.67851122e-05],767871931.0,0.06111335212121265,[3.32345195],[0.6318258],4,unexplained,0
77.0,0.0,0.05096811941131289,[0.15446667],['RS'],0.0,['L56'],[0.21233908],0.0,[0.36015457],0.0,[90.],[2.],0.16666666666666666,[600.],[1],[2],[0.38425926],[6.46332649e-08],767871931.0,0.0957166251704163,[8.19256675],[0.54941374],7,unexplained,0
