unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
165.0,0.017442900170852947,0.04333278662008182,[0.1459098],['RS'],0.3872527910454604,['L23'],[0.06121564],0.0,[1.2011032],0.09623705538686211,[135.],[2.],0.0,[700.],[5],[4],[-0.21088435],[0.04890218],767871931.0,0.36350181942824694,[1.06520266],[0.68676717],4,stimulus2,1
166.0,0.0,0.059957859795494305,[0.3641098],['RS'],0.22908527305304327,['L23'],[0.07973844],0.3333333333333333,[0.27587557],0.11576897471392053,[0.],[2.],0.0,[500.],[4],[4],[0.21722114],[0.31598003],767871931.0,0.06032621276202053,[6.19160369],[1.71691792],6,behavior,1
172.0,0.0,0.054688296010614645,[0.35983137],['FS'],0.12662944062060838,['L23'],[0.10719973],0.3333333333333333,[4.45450932],0.07473629496975061,[0.],[2.],0.0,[600.],[4],[5],[0.08663968],[0.72264997],767871931.0,0.014544230515061308,[8.39871325],[0.23350084],1,unexplained,0
174.0,0.0,0.0303444483849189,[1.04438039],['FS'],0.09400226960132987,['L23'],[0.06816063],0.0,[3.61970484],0.034736787871486666,[0.],[2.],0.0,[700.],[3],[3],[-0.18173133],[0.16004671],767871931.0,0.021750387387223104,[5.61390589],[0.24723618],2,unexplained,0
176.0,0.0,0.026293020408291734,[0.10740392],['RS'],0.09903101673543643,['L23'],[0.05213658],0.3333333333333333,[1.35784486],0.03651900944321975,[0.],[2.],0.0,[500.],[5],[5],[-0.36193783],[0.16631741],767871931.0,0.04747139788333175,[1.58713384],[0.78291457],2,unexplained,0
177.0,0.0,0.019508515661008217,[0.11168235],['RS'],0.17921406099710263,['L23'],[0.17808369],0.0,[6.68401658],0.06846562631101691,[0.],[2.],0.0,[500.],[5],[5],[-0.45281551],[1.71457943e-05],767871931.0,0.12589881716064608,[2.46198512],[0.68676717],11,stimulus1,1
180.0,0.0,0.04546948916630618,[0.43256471],['FS'],0.15310525331932648,['L23'],[0.26060383],0.0,[3.67975046],0.06274943579775594,[45.],[2.],0.0,[400.],[5],[5],[0.50041818],[0.00521469],767871931.0,0.1536394816919498,[12.00924896],[0.20603015],11,stimulus1,1
2.0,0.0,0.09175568215909184,[0.20580784],['RS'],0.15847884946297486,['L56'],[0.10376604],0.0,[0.68096634],0.043091555048634066,[90.],[2.],0.16666666666666666,[1100.],[1],[2],[0.65740741],[0.10689538],767871931.0,0.0349253255186039,[1.86929073],[0.65929648],1,unexplained,0
3.0,0.014529406064451878,0.08460439214294649,[0.03894902],['RS'],0.44487207936533923,['L56'],[0.17886262],0.0,[0.55004837],0.2063076547296329,[45.],[2.],0.16666666666666666,[1100.],[4],[1],[0.35256971],[0.0786236],767871931.0,0.16458486646734477,[1.62337381],[0.92026801],8,stimulus+population,2
5.0,0.00865482192832776,0.027257088227778038,[0.12879608],['RS'],0.23133618895759572,['L56'],[0.18574922],0.3333333333333333,[1.10877954],0.12082626138062165,[135.],[2.],0.16666666666666666,[1900.],[3],[2],[0.03658537],[0.6360994],767871931.0,0.22763014956294714,[3.00747437],[0.81038526],8,stimulus+population,2
6.0,0.020781638040465733,0.26866713442211293,[0.61225882],['RS'],0.27979460028562475,['L56'],[0.08005491],0.0,[1.08895658],0.13374249863210735,[90.],[2.],0.16666666666666666,[700.],[4],[5],[-0.06351615],[0.69271539],767871931.0,0.006997391587294599,[5.13385549],[0.78291457],7,stimulus+behavior,2
